temp,pression,hum,CO,CO2,PM2.5,PM10,feu
11.5,944.619608969225,100,0.5,503.966083526611,2.4,6.5,0
20.54,939.923246013694,49.9832864973837,0.5,411.925783157348,3.8,4.8,0
18.78,942.981320555974,63.0661675702401,0.5,410.693159103393,0.7,1.9,0
16.27,943.808933758906,94.3407341415259,0.5,417.510738372802,0.8,1.8,0
9.77,941.432725584426,100,0.5,508.677234649658,3.8,5.4,0
18.88,944.928479307451,56.5981033695259,0.5,435.821285247802,2.5,5.7,0
11.83,940.754883946208,100,0.5,496.95776939392,3.2,9.9,0
13,945.740470996932,100,0.5,491.163005828857,2.1,3.9,0
19.44,941.924544205869,60.9891268279012,0.5,423.825254440307,5,6.5,0
12.91,932.701975396209,100,0.5,483.034124374389,7.3,23.7,0
12.44,941.135637851033,100,0.5,507.916679382324,3.1,9.5,0
16.32,940.414669185141,50.6839998244664,0.5,405.536165237426,3.8,10.4,0
10.17,941.446352036388,100,0.5,511.695613861083,3.5,3.9,0
14.81,940.041627799367,68.3517338036472,0.5,413.440933227539,3.3,10.8,0
8.72,941.424372949533,100,0.5,492.655506134033,7.4,9,0
8.63,941.147804435843,100,0.5,486.675968170166,6.4,9.4,0
16.09,933.990097232228,79.2620985842561,0.5,493.338575363159,8.2,25.2,0
16.96,939.823560070382,39.0225898344466,0.5,397.735109329223,4,12.2,0
19.13,944.821701508174,57.8387042931609,0.5,452.735891342163,2.3,6.4,0
17.13,941.585766277477,55.9493629043911,0.5,430.700054168701,3.4,10.4,0
9.14,941.301197933345,100,0.5,504.765977859497,4.2,6.4,0
12.5,945.764861202758,100,0.5,492.154827117919,2.4,4.7,0
12.39,941.217111693641,100,0.5,483.017435073852,2.9,8.2,0
34.94,943.641009378824,25.265421367709,0.5,398.142805099487,3.6,7.9,0
19.52,943.555702690772,46.1444857722727,0.5,397.929420471191,0.8,2.3,0
11.07,943.12970616237,100,0.5,462.074747085571,3.5,10.2,0
9.85,941.317301826396,100,0.5,522.643795013427,3.7,4.7,0
12.35,941.098476794688,100,0.5,441.260805130004,3.1,7.8,0
16.01,943.823807124756,96.40445618433,0.5,418.570508956909,0.8,2.1,0
11.66,941.840985246856,100,0.5,452.137460708618,3.1,8.6,0
10.62,941.075816789698,100,0.5,506.809225082397,3.4,4.7,0
10.53,939.798889918128,100,0.5,506.824722290039,3.2,8.5,0
15.91,940.093870902939,48.8276262303024,0.5,407.567491531372,3.1,8.6,0
28.99,940.734043021926,32.0629704112787,0.5,453.969707489013,3.2,7.9,0
10.03,941.363579392689,100,0.5,520.667304992675,3.6,4.6,0
13.3,939.121172090502,100,0.5,503.145923614501,3.9,4.8,0
11.32,940.532379905772,100,0.5,490.874519348144,2.9,9.1,0
14.01,938.21365591225,100,0.5,531.226863861083,4.1,5.8,0
17.05,943.555329830892,77.5084988495482,0.5,397.731533050537,0.8,2.6,0
12.56,940.92127296575,100,0.5,497.000684738159,3.1,11,0
10.99,943.236384255065,100,0.5,454.973449707031,3.2,8.2,0
12.6,940.805609508172,100,0.5,500.088205337524,3.3,10.2,0
10.21,944.119204739333,100,0.5,505.729188919067,2.5,4.8,0
32.53,943.98949513958,26.6430017404963,0.5,398.10227394104,3,9.6,0
16.56,940.559432101575,52.9538777184333,0.5,409.61669921875,3.7,10.1,0
9.09,941.218616924706,100,0.5,511.578788757324,4.1,6,0
9.1,942.50431922252,100,0.5,471.868982315063,3.8,9.9,0
11.8,944.74295247308,100,0.5,488.015880584716,2.4,5.7,0
30.4,943.148356352726,28.4749494278822,0.5,397.972335815429,6.7,9.7,0
9.06,942.604713667827,100,0.5,484.77219581604,3,8.4,0
12.94,940.932935982785,100,0.5,479.143133163452,2.9,8.5,0
11.49,945.094249988164,100,0.5,496.011247634887,2.1,4.7,0
19.31,943.253200492755,47.7675407846088,0.5,397.912731170654,1.1,4.6,0
12.86,945.818236605465,100,0.5,500.152578353881,2.1,3.9,0
19.18,943.255294791305,48.3969109662812,0.5,397.882928848266,1.1,4.5,0
8.84,942.529513956277,100,0.5,469.792356491088,3.2,8.2,0
21.12,944.001949521218,41.8874163469325,0.5,398.134460449218,0.8,2,0
10.88,940.913268316613,100,0.5,511.782636642456,4.6,5.9,0
9.09,942.492634571264,100,0.5,482.759943008422,3.7,9.7,0
18.15,943.136464187073,68.7316728356849,0.5,397.741069793701,1,3.2,0
17.89,943.195624649383,69.2725852251395,0.5,412.680377960205,1.1,3.2,0
10.67,942.890249199765,100,0.5,452.043285369873,3.6,12.4,0
15.09,934.078704469621,84.6628675380811,0.5,488.199462890625,8.7,27.7,0
11.26,940.83211773452,100,0.5,511.899461746215,4.3,5.9,0
17.53,943.461330748943,72.9133470572883,0.5,398.716201782226,0.8,2.9,0
17.71,940.426019667386,47.7614947834231,0.5,414.75938796997,3.5,10.3,0
10.66,939.773300518477,100,0.5,500.765314102172,2.9,9.8,0
9.53,942.700540969637,100,0.5,486.710538864135,3.6,10.5,0
18,941.367501717294,52.2256253775289,0.5,422.64627456665,3.6,10.5,0
30.8,943.376491106226,30.1518897219646,0.5,440.993776321411,3.2,7.6,0
